"field","id","locationName","partnerName","activity","activityName","startDate","endDate","MSAcount","score_de_Consommation_alimentaire_Pauvre","Individus_IDPs","des_menages_ayant_acces_a_une_latrine_hygienique","de_menages_vivant_ds_un_abris_en_dessous_des_standard","Menage_retournes","Menages_hote","Score_NFI","Individus_returnes","score_de_Consommation_alimentaire_Limite","score_de_Consommation_alimentaire_Acceptable","Individus_hote","decole_fonctionnelles","Menage_IDPs","Score_startegie_de_survie","des_menages_avec_un_source_deau_potable_amelioree","Score_Consommation_alimentaire","Taudiarrhee_chez_les_enfants_de_moins_de_5_ans__au_cours_des_2_dernieres_semaines","Recommandations_du_MSAPas_dintervention","Recommandations_du_MSAIntervention_SanteNutrition","Recommandations_du_MSASecurite_Alimentaire","Recommandations_du_MSAIntervention_AbrisNFI","Recommandations_du_MSAIntervention_EAH","Recommandations_du_MSA_Intervention_Protection","Recommandations_du_MSA_Intervention_Education","Raison_pour_annulation","Raison_pour_stand_by","Statut_Complete","type1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","recommandation","score_de_Consommation_alimentaire_PauvreBorder"
"Feature","306163700","Bogama 2","DRC","16230","MSA","2014-08-19","2014-08-19","1e+06","40-59%","527","0-20%","0-20%","0","0","4.2","1954","20-39%","20-39%","0","0-20%","0","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.257593,18.710894","18.710894","7.257593","2014-08","2014","Yadé","Ouham","Kabo","Ouaki","Pas_d'intervention","60-79%"
"Feature","357335304","Pombolo-Madima","ACTED","16230","MSA","2014-04-16","2014-04-17","1e+06","0-20%","0","0-20%","0-20%","0","0","3.5","0","0-20%","0-20%","0","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.673463,21.998526","21.998526","4.673463","2014-04","2014","Haut-Oubangui","Mbomou","Gambo","Gambo","Pas_d'intervention","0-20%"
"Feature","361959953","Kabo","SI","16230","MSA","2014-08-10","2014-08-13","1e+06","80-100%","0","40-59%","0-20%","0","0","4.5","0","0-20%","0-20%","30840","0-20%","298","0","80-100%","0","9","Pas_d'intervention",NA,NA,NA,NA,"0","0","1","1","1","Point","7.688983,18.623028","18.623028","7.688983","2014-08","2014","Yadé","Ouham","Kabo","Sido","Pas_d'intervention","80-100%"
"Feature","371948100","Bambari","ACTED","16230","MSA","2014-06-27","2014-06-29","1e+06","40-59%","15144","0-20%","0-20%","0","0","3.9","0","20-39%","0-20%","0","0-20%","2590","13.6","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.764845,20.654183","20.654183","5.764845","2014-06","2014","Kagas","Ouaka","Bambari","Bambari","Pas_d'intervention","80-100%"
"Feature","417556169","Bekakpolo","PU-AMI","16230","MSA","2014-07-09","2014-07-09","1e+06","0-20%","0","0-20%","20-39%","0","3016","4.2","0","20-39%","40-59%","18000","0-20%","0","0","40-59%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.80747,17.192534","17.192534","4.80747","2014-07","2014","Plateaux","Lobaye","Boganangone","Boganangone","Pas_d'intervention","40-59%"
"Feature","441202902","Bambari","ACTED","16230","MSA","2014-07-21","2014-07-21","1e+06","20-39%","0","20-39%","0-20%","0","0","4.2","0","20-39%","40-59%","41486","0-20%","456","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.764845,20.654183","20.654183","5.764845","2014-07","2014","Kagas","Ouaka","Bambari","Bambari","Pas_d'intervention","60-79%"
"Feature","483717655","Djangala","ACTED","16230","MSA","2014-06-08","2014-06-11","1e+06","20-39%","0","0-20%","0-20%","0","0","4.2","0","20-39%","20-39%","0","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.850333,20.11246","20.11246","5.850333","2014-06","2014","Kagas","Ouaka","Grimari","Lissa","Pas_d'intervention","60-79%"
"Feature","485071939","Kaga-Bandoro","IRC","16230","MSA","2014-08-24","2014-08-25","1e+06","60-79%","3635","0-20%","0-20%","0","0","4.3","0","20-39%","0-20%","30440","0-20%","661","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.990379,19.191543","19.191543","6.990379","2014-08","2014","Kagas","Nana-Gribizi","Kaga-Bandoro","Kaga-Bandoro","Pas_d'intervention","80-100%"
"Feature","485271975","Toro","PU-AMI","16230","MSA","2014-07-07","2014-07-11","1e+06","20-39%","1929","0-20%","20-39%","0","0","4.2","357","20-39%","40-59%","27163","0-20%","0","0","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.87647,16.348151","16.348151","4.87647","2014-07","2014","Equateur","Mambéré-Kadéï","Gadzi","Topia","Pas_d'intervention","40-59%"
"Feature","502561790","Botto","SI","16230","MSA","2015-03-04","2015-03-05","1e+06","40-59%","0","0-20%","20-39%","0","0","4.6","0","20-39%","0-20%","0","80-100%","0","0","80-100%","28.4","24",NA,NA,"Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.975222222,19.10066667","19.10066667","6.975222222","2015-03","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Botto","Intervention_abris Intervention_EHA Intervention_securite_alimentaire","80-100%"
"Feature","509511156","Djambala","PU-AMI","16230","MSA","2014-06-26","2014-06-26","1e+06","0-20%","335","0-20%","20-39%","0","0","3.9","0","20-39%","40-59%","0","80-100%","0","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.264061,15.779907","15.779907","4.264061","2014-06","2014","Equateur","Mambéré-Kadéï","Berbérati","Basse-Batouri","Pas_d'intervention","40-59%"
"Feature","522265428","Sanguere 3","DRC","16230","MSA","2015-03-11","2015-03-11","1e+06","40-59%","0","0-20%","0-20%","0","0","3.6","0","20-39%","20-39%","0","40-59%","0","0","0-20%","27","16",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.966833,15.337074","15.337074","6.966833","2015-03","2015","Yadé","Ouham Pendé","Koui","Koui","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","60-79%"
"Feature","547401261","Kollo","IRC","16230","MSA","2014-05-25","2014-05-25","1e+06","0-20%","2600","0-20%","0-20%","0","0","3.4","0","20-39%","60-79%","0","80-100%","0","19.4","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.47827,15.592088","15.592088","7.47827","2014-05","2014","Yadé","Ouham Pendé","Ngaoundaye","Lim","Pas_d'intervention","20-39%"
"Feature","570093784","Djalinga","ACF","16230","MSA","2014-06-23","2014-06-23","1e+06","40-59%","0","0-20%","20-39%","0","0","4.1","0","20-39%","20-39%","395","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.343725,15.753291","15.753291","6.343725","2014-06","2014","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Pas_d'intervention","60-79%"
"Feature","575877285","Gamboula","PU-AMI","16230","MSA","2015-02-12","2015-02-13","1e+06","0-20%","1410","40-59%","0-20%","0","0","4.2","0","0-20%","0-20%","0","0-20%","0","0","0-20%","30.7","38",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","1","1","1","1","1","Point","4.121131,15.137363","15.137363","4.121131","2015-02","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","0-20%"
"Feature","612231450","Ngoutere","IRC","16230","MSA","2014-05-18","2014-05-18","1e+06","60-79%","0","0-20%","80-100%","0","200","4.7","0","20-39%","0-20%","0","0-20%","13","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.771014,15.896256","15.896256","6.771014","2014-05","2014","Yadé","Ouham Pendé","Bocaranga","Péndé","Pas_d'intervention","80-100%"
"Feature","635893508","Nana-Bakassa","IRC","16230","MSA","2014-09-28","2014-09-28","1e+06","60-79%","0","0-20%","0-20%","0","7516","4.3","0","0-20%","0-20%","1504","0-20%","0","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.986891,17.282323","17.282323","6.986891","2014-09","2014","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Pas_d'intervention","80-100%"
"Feature","688102721","Gbabiro","ACF","16230","MSA","2015-02-18","2015-02-18","1e+06","60-79%","0","0-20%","20-39%","0","0","4.6","0","20-39%","0-20%","0","0-20%","0","0","0-20%","20","25",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.849218,17.69758","17.69758","6.849218","2015-02","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","80-100%"
"Feature","757474160","Koui","IRC","16230","MSA","2014-07-30","2014-07-30","1e+06","0-20%","10029","0-20%","60-79%","0","0","4","0","0-20%","0-20%","25958","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.951955,15.453221","15.453221","6.951955","2014-07","2014","Yadé","Ouham Pendé","Koui","Koui","Pas_d'intervention","0-20%"
"Feature","777443287","Amada Gaza","PU-AMI","16230","MSA","2015-03-04","2015-03-05","1e+06","0-20%","713","0-20%","0-20%","0","0","4.1","0","0-20%","0-20%","0","0-20%","0","0","0-20%","34.1","12",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","4.76865833333,15.20911111111","15.20911111111","4.76865833333","2015-03","2015","Equateur","Mambéré-Kadéï","Amada-Gaza","Haute-Boumbé","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","0-20%"
"Feature","859817367","Berberati","PU-AMI","16230","MSA","2014-09-09","2014-09-09","1e+06","0-20%","1600","0-20%","0-20%","0","0","3.7","0","20-39%","40-59%","78000","0-20%","0","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.255473,15.787529","15.787529","4.255473","2014-09","2014","Equateur","Mambéré-Kadéï","Berbérati","Basse-Batouri","Pas_d'intervention","40-59%"
"Feature","914844122","Kengar","SI","16230","MSA","2014-06-15","2014-06-15","1e+06","0-20%","378","0-20%","0-20%","0","0","4.3","0","0-20%","0-20%","0","0-20%","88","0","0-20%","0","0",NA,NA,NA,"Intervention_abris",NA,"0","0","0","0","0","Point","7.833433,18.667386","18.667386","7.833433","2014-06","2014","Yadé","Ouham","Kabo","Sido","Intervention_abris","0-20%"
"Feature","915456500","Kabo","SI","16230","MSA","2015-01-15","2015-01-16","1e+06","0-20%","0","0-20%","80-100%","273","0","4.4","0","0-20%","0-20%","0","0-20%","79","0","0-20%","29.9","15",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","7.688983,18.623028","18.623028","7.688983","2015-01","2015","Yadé","Ouham","Kabo","Sido","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","0-20%"
"Feature","940925763","Bozakon","ACF","16230","MSA","2014-07-24","2014-07-25","1e+06","60-79%","2992","0-20%","0-20%","0","0","4.5","0","20-39%","0-20%","832","0-20%","0","0","0-20%","0","0",NA,NA,NA,"Intervention_abris",NA,"0","0","0","0","0","Point","6.952119,18.504728","18.504728","6.952119","2014-07","2014","Yadé","Ouham","Bouca","Lady Gbawi","Intervention_abris","80-100%"
"Feature","954858008","Farazala 2","SI","16230","MSA","2014-07-23","2014-07-24","1e+06","80-100%","0","0-20%","0-20%","0","0","4.5","0","0-20%","0-20%","4846","0-20%","552","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.38158,18.742014","18.742014","7.38158","2014-07","2014","Yadé","Ouham","Kabo","Ouaki","Pas_d'intervention","80-100%"
"Feature","959852081","Yandoce","PU-AMI","16230","MSA","2014-09-16","2014-09-17","1e+06","20-39%","681","0-20%","0-20%","0","0","3.9","0","20-39%","40-59%","18251","0-20%","0","0","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","3.921287,15.418131","15.418131","3.921287","2014-09","2014","Equateur","Mambéré-Kadéï","Dédé-Mokouba","Haute-Kadéi","Pas_d'intervention","40-59%"
"Feature","1053538439","Zaorodinga","PU-AMI","16230","MSA","2014-07-23","2014-07-24","1e+06","0-20%","1491","0-20%","0-20%","0","0","4","0","40-59%","40-59%","11336","0-20%","0","0","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","4.697984,15.229919","15.229919","4.697984","2014-07","2014","Equateur","Mambéré-Kadéï","Amada-Gaza","Haute-Boumbé","Pas_d'intervention","40-59%"
"Feature","1173387721","Ngaoundaye","IRC","16230","MSA","2014-08-03","2014-08-06","1e+06","0-20%","0","0-20%","80-100%","0","0","3.7","0","0-20%","0-20%","21569","0-20%","0","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.985813,15.258225","15.258225","6.985813","2014-08","2014","Yadé","Ouham Pendé","Ngaoundaye","Mbili","Pas_d'intervention","0-20%"
"Feature","1199278820","Bondiba","ACF","16230","MSA","2015-01-24","2015-01-26","1e+06","20-39%","388","20-39%","40-59%","0","0","4.1","0","60-79%","0-20%","0","80-100%","94","0","80-100%","29","15",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","5.535135,14.794725","14.794725","5.535135","2015-01","2015","Equateur","Nana-Mambéré","Baboua","Baboua","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","80-100%"
"Feature","1412581083","Batangafo","DRC","16230","MSA","2015-03-05","2015-03-05","1e+06","0-20%","7081","0-20%","60-79%","0","0","3.5","0","0-20%","0-20%","0","20-39%","986","0","0-20%","33.4","21",NA,NA,"Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","7.300987,18.285135","18.285135","7.300987","2015-03","2015","Yadé","Ouham","Batangafo","Batangafo","Intervention_abris Intervention_EHA Intervention_securite_alimentaire","0-20%"
"Feature","1460004019","Bofire","ACF","16230","MSA","2015-02-24","2015-02-24","1e+06","40-59%","1215","0-20%","20-39%","0","0","4.5","0","20-39%","0-20%","0","0-20%","243","0","0-20%","26","49",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.71861,17.766026","17.766026","6.71861","2015-02","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","80-100%"
"Feature","1643873740","Lihoto","ACTED","16230","MSA","2015-03-17","2015-03-19","1e+06","0-20%","0","0-20%","20-39%","0","0","4.3","0","0-20%","0-20%","0","0-20%","600","0","0-20%","40.6","41",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","5.312277,20.15837","20.15837","5.312277","2015-03","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","0-20%"
"Feature","1706842071","Bouca","ACF","16230","MSA","2014-05-14","2014-05-14","1e+06","0-20%","180","0-20%","0-20%","0","0","3.8","0","0-20%","80-100%","27782","0-20%","0","6.9","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.502576,18.279259","18.279259","6.502576","2014-05","2014","Yadé","Ouham","Bouca","Bouca Bobo","Pas_d'intervention","0-20%"
"Feature","1795334318","Bombere-Kota","ACF","16230","MSA","2014-08-04","2014-08-04","1e+06","0-20%","0","0-20%","40-59%","0","76","4.4","0","20-39%","0-20%","399","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.914322,17.548962","17.548962","6.914322","2014-08","2014","Yadé","Ouham","Bossangoa","Ben Zambé","Pas_d'intervention","40-59%"
"Feature","1807269196","Ngakobo","ACTED","16230","MSA","2014-09-11","2014-09-12","1e+06","20-39%","0","20-39%","0-20%","0","1000","4.2","0","20-39%","20-39%","0","80-100%","5000","0","80-100%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.339652,20.730846","20.730846","5.339652","2014-09","2014","Kagas","Ouaka","Bambari","Ngougbia","Pas_d'intervention","60-79%"
"Feature","1839395729","Obo","ACTED","16230","MSA","2014-08-31","2014-09-03","1e+06","0-20%","20000","60-79%","20-39%","0","0","3.3","0","40-59%","40-59%","0","80-100%","4000","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.38701944444445,26.488725","26.488725","5.38701944444445","2014-08","2014","Haut-Oubangui","Haut-Mbomou","Obo","Obo","Pas_d'intervention","40-59%"
"Feature","1846048074","Kaboro","ACF","16230","MSA","2015-03-11","2015-03-11","1e+06","40-59%","1060","0-20%","40-59%","0","500","4.6","0","40-59%","0-20%","2495","80-100%","104","0","0-20%","25","27",NA,"Intervention_sante_nutrition","Intervention_securite_alimentaire","Intervention_abris","Intervention_EHA","0","0","1","1","1","Point","6.97083333333,17.52944444444","17.52944444444","6.97083333333","2015-03","2015","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Intervention_abris Intervention_EHA Intervention_sante_nutrition Intervention_securite_alimentaire","80-100%"
"Feature","1926541355","Bila","ACTED","16230","MSA","2014-08-04","2014-08-06","1e+06","40-59%","5702","40-59%","20-39%","0","0","4.3","0","40-59%","0-20%","0","0-20%","283","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","6.100629,19.54689","19.54689","6.100629","2014-08","2014","Kagas","Kémo","Mala","Mala","Pas_d'intervention","80-100%"
"Feature","2026183658","Gbakoui","ACF","16230","MSA","2014-08-18","2014-08-18","1e+06","60-79%","10052","0-20%","0-20%","0","182","4.6","0","0-20%","0-20%","9081","0-20%","0","0","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.039921,18.341786","18.341786","7.039921","2014-08","2014","Yadé","Ouham","Bouca","Lady Gbawi","Pas_d'intervention","80-100%"
"Feature","2044659267","Zongayassi","ACTED","16230","MSA","2014-06-26","2014-06-27","1e+06","60-79%","0","0-20%","20-39%","0","0","4.4","0","20-39%","0-20%","0","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.605088,20.054886","20.054886","5.605088","2014-06","2014","Kagas","Ouaka","Grimari","Lissa","Pas_d'intervention","80-100%"
"Feature","2082172285","Kongokouba","ACTED","16230","MSA","2014-09-10","2014-09-10","1e+06","40-59%","0","40-59%","40-59%","0","0","4.3","0","40-59%","0-20%","0","0-20%","0","0","0-20%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.498009,20.828628","20.828628","5.498009","2014-09","2014","Kagas","Ouaka","Bambari","Ngougbia","Pas_d'intervention","80-100%"
"Feature","2098516451","Sibut","ACF","16230","MSA","2014-06-04","2014-06-04","1e+06","40-59%","667","0-20%","0-20%","0","0","4.3","0","20-39%","20-39%","29900","80-100%","0","18.4","60-79%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","5.727482,19.081939","19.081939","5.727482","2014-06","2014","Kagas","Kémo","Sibut","Sibut","Pas_d'intervention","60-79%"
"Feature","2108712297","Gpt Kouki","ACF","16230","MSA","2014-06-02","2014-06-02","1e+06","40-59%","8000","0-20%","80-100%","0","0","4.1","0","40-59%","0-20%","0","0-20%","0","0","20-39%","0","0","Pas_d'intervention",NA,NA,NA,NA,"0","0","0","0","0","Point","7.156851,17.29809","17.29809","7.156851","2014-06","2014","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","Pas_d'intervention","80-100%"
